#blinkered/attestations/2 language=hr words=44238 sources=19 built=2026-09-23 digest=187ec56a3eb23c24
#tokens ebible:hrv=468323 fw2=1144091583 ia=45918871 lz:hrv_news_2019_300K=549623 lz:hrv_news_2020_1M=763066 lz:hrv_newscrawl_2016_1M=951782 tat=25538 web:booksa.hr=4201 web:glas-slavonije.hr=30079 web:hrt.hr=456 web:index.hr=166070 web:jutarnji.hr=32801 web:net.hr=134064 web:novilist.hr=107545 web:slobodnadalmacija.hr=2982 web:srce.hr=16515 web:tportal.hr=20515 web:vecernji.hr=28582 wiki:hr=56904056 wikisource:hr=7213780
SVEMOĆNA	fw2,ia,wiki:hr,wikisource:hr	391,18,12,10	fw2:http://www.dnevno.hr/kolumnisti/jure-zovko/covicev-europski-politicki-iskorak-1146908/ fw2:https://www.slobodnadalmacija.hr/misljenja/vlaska-posla/clanak/id/316866/napusteni-hrvati ia:Adams_Douglas_-_Autostoperski_vodic_kroz_galaksiju_-_Komplet/Adams_Douglas_-_Autostoperski_vodic_kroz_galaksiju_-_Komplet_djvu.txt ia:AleksandarSEITZPutDoHrvatskogSocializmaZagreb1943./Aleksandar%20SEITZ_%20Put%20do%20hrvatskog%20socializma%20%5BZagreb%201943.%5D_djvu.txt wiki:hr:37990 wiki:hr:90178 wikisource:hr:152 wikisource:hr:5728
PROSVJEDUJEMO	fw2,ia,wiki:hr,wikisource:hr	225,20,2,12	fw2:http://www.tportal.hr/biznis/gospodarstvo/200730/Uhiceni-radnici-Jadrankamena-odbili-hranu-i-lijekove.html fw2:http://www.nacional.hr/daj-5-za-drzavni-pedagoski-standard-odrzan-prosvjed-za-dostojanstvo-struke-i-bolje-uvjete-rada-u-djecjim-vrticima/ ia:dokumen.tips_ante-starcevic-izabrani-spisi-dio-knjige-1943/dokumen.tips_ante-starcevic-izabrani-spisi-dio-knjige-1943_djvu.txt ia:hrvatskidjacipr00zaggoog/hrvatskidjacipr00zaggoog_djvu.txt wiki:hr:25408 wiki:hr:225486 wikisource:hr:10532 wikisource:hr:14334
ZASLUŽIVALI	fw2,ia,lz:hrv_newscrawl_2016_1M,wiki:hr,wikisource:hr	57,27,1,5,4	fw2:http://sh.wikipedia.org/wiki/Albert_Einstein fw2:https://www.hercegovina.info/vijesti/hrvatska/splitu-je-svanula-zora-slobode-gradonacelnik-profiter-zamijenjen-je-gradonacelnikom-dezerterom/59404/ ia:POVIJEST_BOSNE-NOEL_MALCOLM/PovijestBosne-NoelMalcolm_djvu.txt ia:PovijestKristova1936/PovijestKristova1936-GiovanniPapini_djvu.txt lz:hrv_newscrawl_2016_1M:http://www.rijekadanas.com/category/vijesti/page/600/ wiki:hr:10596 wiki:hr:14749 wikisource:hr:145 wikisource:hr:5449
TROMJESEČNOG	fw2,ia,lz:hrv_news_2020_1M,wiki:hr,wikisource:hr	572,3,1,18,1	fw2:https://hr.khasiat-herbal.com/ajva-kak-cvetet.php fw2:https://zadarski.slobodnadalmacija.hr/zadar/forum/jesu-li-sve-ove-mjere-udar-na-demokraciju-ako-zaraza-potraje-ljudska-prava-na-koja-smo-navikli-mogla-bi-postati-stvar-proslosti-1012761 ia:dobrovoljna-i-prisilna-preseljenja-u-hrvatskoj-tijekom-2.-sv-rata/Dobrovoljna%20i%20prisilna%20preseljenja%20u%20Hrvatskoj%20tijekom%202.%20sv%20rata_djvu.txt ia:tumaobemuaustri00austgoog/tumaobemuaustri00austgoog_djvu.txt lz:hrv_news_2020_1M:https://www.vecernji.ba/vijesti/u-sarajevskoj-zupaniji-registrirano-248-novozarazenih-koronavirusom-1451220 wiki:hr:7089 wiki:hr:45702 wikisource:hr:17229
ZAPLAČI	ebible:hrv,fw2,ia,wiki:hr,wikisource:hr	1,20,1,1,1	ebible:hrv:EZE32 fw2:https://blog.dnevnik.hr/purpleangel666/?page=blog&subdomain=purpleangel666 fw2:http://www.godrules.net/library/Slavic/croatian/croatianeze32.htm ia:danicailirskavo00gajgoog/danicailirskavo00gajgoog_djvu.txt wiki:hr:543836 wikisource:hr:9317
ZATRUDNJET	ebible:hrv,fw2,ia,wiki:hr,wikisource:hr	1,20,1,1,1	ebible:hrv:JDG13 fw2:https://issuu.com/quipos.art/docs/neplodnost2010 fw2:http://znanost-i-biblija.blogspot.com/2012/06/lazna-prorocanstva.html ia:mader-strizic-misli-natraznjaka-1928./Mader%2C%20Stri%C5%BEi%C4%87%20-%20Misli%20natra%C5%BEnjaka%2C%201928._djvu.txt wiki:hr:720588 wikisource:hr:7568
OGRNULA	fw2,ia,lz:hrv_news_2020_1M,wikisource:hr	125,10,1,5	fw2:http://lektira.comxa.com/102/207/207sevt.htm fw2:https://m.vecernji.hr/zagreb/ovim-potezom-spasavate-zivote-a-ujedno-pomazete-i-samome-sebi-1392529 ia:dinko-simunovic-odabrane-pripovijetke/dinko-simunovic-odabrane-pripovijetke_djvu.txt ia:dla00vrazgoog/dla00vrazgoog_djvu.txt lz:hrv_news_2020_1M:https://www.vecernji.hr/kultura/upoznajte-se-s-djelima-hrvatskih-modernih-umjetnika-iz-zbirke-moderne-galerije-1395778 wikisource:hr:9476 wikisource:hr:10559
POVESELILA	ebible:hrv,fw2,ia,wikisource:hr	1,40,1,1	ebible:hrv:ESG04 fw2:http://mladezdvdbobovec.blog.hr/ fw2:http://blog.dnevnik.hr/majabaka/ ia:podgorkaslikaiz00novagoog/podgorkaslikaiz00novagoog_djvu.txt wikisource:hr:10557
ZGRTANJU	ebible:hrv,fw2,ia	1,74,6	ebible:hrv:BAR03 fw2:http://www.4dportal.com/en/life/2668-pohlepa-nekada-grijeh-danas-vrlina fw2:https://pivnica.net/nacrtaj-mi-krigl-pocetak/59/ ia:02421840R.nlm.nih.gov/02421840R_djvu.txt ia:Adams_Douglas_-_Autostoperski_vodic_kroz_galaksiju_-_Komplet/Adams_Douglas_-_Autostoperski_vodic_kroz_galaksiju_-_Komplet_djvu.txt
DODIJELIŠ	ebible:hrv,fw2,ia,wikisource:hr	1,15,2,1	ebible:hrv:JOB38 fw2:http://upozorenjepreddrugidolazak.info/?page_id=358 fw2:https://planner-boutique.com/blogs/inspiracija ia:UsloviIZaprekePrimanjaDove/Uslovi%20i%20zapreke%20primanja%20dove_djvu.txt ia:buharijeva-zbirka-hadisa-2-knjiga/Buharijeva_zbirka_hadisa__2__knjiga_djvu.txt wikisource:hr:56
ZAMOČITE	ebible:hrv,fw2,ia,wikisource:hr	1,15,2,1	ebible:hrv:EXO12 fw2:http://www.orhideje.net/cvjetne_biljke.php fw2:http://sacred-texts.com/bib/wb/cro/exo.htm ia:hrvatskasmotraz02vukegoog/hrvatskasmotraz02vukegoog_djvu.txt ia:rjenikhrvatskog01danigoog/rjenikhrvatskog01danigoog_djvu.txt wikisource:hr:7358
MULTIPLIKATOR	fw2,ia,lz:hrv_newscrawl_2016_1M,wiki:hr	341,12,1,41	fw2:http://hr.wikipedia.org/wiki/Global_Positioning_System fw2:https://www.scribd.com/doc/57098709/OIE-Vjetar ia:Hidraulika/Hidraulika_djvu.txt ia:Nevjerujteprovjerite/Nevjerujteprovjerite_djvu.txt lz:hrv_newscrawl_2016_1M:http://www.poslovni.hr/strane-kompanije/kriz-od-gume-171275 wiki:hr:19417 wiki:hr:19481
TABERNAKULA	fw2,ia,lz:hrv_newscrawl_2016_1M,wiki:hr,wikisource:hr	257,3,1,9,6	fw2:http://www.gradiste.com/TRADICIJA/zivot_kroz_godinu.htm fw2:https://issuu.com/zoka123/docs/vjesnik_05-06-2013_-_internet ia:StendalCrvenoICrno/Stendal-Crveno-i-crno_djvu.txt ia:pjesmemavravetr00jagigoog/pjesmemavravetr00jagigoog_djvu.txt lz:hrv_newscrawl_2016_1M:http://www.jutarnji.hr/domidizajn/savjeti/galerije-u-stanovima-atraktivan-odgovor-na-nedostatak-kvadrata/5171156/ wiki:hr:120118 wiki:hr:324318 wikisource:hr:10419 wikisource:hr:11205
NASLUĆIVALO	fw2,ia,lz:hrv_newscrawl_2016_1M,wiki:hr,wikisource:hr	163,10,1,5,6	fw2:http://arhiv.slobodnadalmacija.hr/20010524/sport.htm fw2:http://www.sah-draga.com/category/sah-na-puntu/opcenito/ ia:davor-domazet-loso-klonovi-nastupaju_compress/davor-domazet-loso-klonovi-nastupaju_compress_djvu.txt ia:drvar-u-ustanku-cetrdeset-prve/Drvar%20u%20ustanku%20%C4%8Detrdeset%20prve_djvu.txt lz:hrv_newscrawl_2016_1M:http://www.monitor.hr/clanci/2009/12/05/ wiki:hr:20443 wiki:hr:26363 wikisource:hr:8913 wikisource:hr:10327
RACIONALIZAM	fw2,ia,wiki:hr,wikisource:hr	504,32,60,1	fw2:http://geopolitika.ru/hr/content/duhovni-autoritet-i-svjetovna-vlast fw2:http://www.avantgarde-museum.com/hr/Razgovor-Pogacnik-Franceschi~no3870/ ia:andromeda-03/Andromeda01_djvu.txt ia:davor-domazet-loso-klonovi-nastupaju_compress/davor-domazet-loso-klonovi-nastupaju_compress_djvu.txt wiki:hr:89 wiki:hr:175 wikisource:hr:13995
SEDMICOM	fw2,ia,lz:hrv_news_2019_300K,web:novilist.hr,wiki:hr,wikisource:hr	117,2,1,20,5,2	fw2:https://www.index.hr/sport/clanak/igra-sjajno-ali-englezi-ga-ne-maze-kranjcaru-lose-ocjene/483232.aspx fw2:https://sport.novi.ba/clanak/230595/spanci-donijeli-ekskluzivu-real-narednog-ljeta-dovodi-ronaldovu-zamjenu-i-buducu-zlatnu-loptu ia:SNasihNjivaplodoviZemljeRomanIzSeljackogZivota/SNaihNjivaplodoviZemlje1936-SidaKouti_djvu.txt ia:osnovni-pojmovnik-religijske-kulture/Osnovni%20pojmovnik%20religijske%20kulture_djvu.txt lz:hrv_news_2019_300K:https://sportnet.rtl.hr/vijesti/532737/kosarka-aba-liga/rimac-mega-nema-nista-za-izgubiti-u-gostima/ web:novilist.hr:https://www.novilist.hr/sport/nogomet/la-liga-visoka-pobjeda-barcelone-rakitic-upisao-asistenciju/ web:novilist.hr:https://www.novilist.hr/sport/nogomet/var-sustav-bi-trebao-biti-savrsen-a-ako-nije-savrsen-ne-bismo-ga-trebali-koristiti/ wiki:hr:21578 wiki:hr:93461 wikisource:hr:11218
UGLAĐENU	ebible:hrv,fw2,ia,wiki:hr	1,113,2,3	ebible:hrv:REV02 fw2:http://honda-hugal.hr/jazz-2015.html fw2:https://david-udruga.hr/2009/08/22/komercijalizacija-crkve-vjera-kao-poduzetnistvo/ ia:Adams_Douglas_-_Autostoperski_vodic_kroz_galaksiju_-_Komplet/Adams_Douglas_-_Autostoperski_vodic_kroz_galaksiju_-_Komplet_djvu.txt ia:paul-i.-wellman-teodora/Paul%20I.Wellman-Teodora_djvu.txt wiki:hr:118452 wiki:hr:682171
SVEČANOŠĆU	fw2,ia,wiki:hr,wikisource:hr	1302,17,31,2	fw2:http://www.cestica.hr/hr/501/na-prvenstvu-varazdinske-zupanije-u-odbojci/gallery/1590/page1/ fw2:http://www.zagorci.com/vijesti/2007/svibanj.htm ia:Posljednji_Zrinski_i_Frankopani-Matica_hrvatska/posljednji_zrinski_i_frankopani-matica_hrvatska_djvu.txt ia:SNasihNjivaplodoviZemljeRomanIzSeljackogZivota/SNaihNjivaplodoviZemlje1936-SidaKouti_djvu.txt wiki:hr:7299 wiki:hr:10505 wikisource:hr:10513 wikisource:hr:14161
